place,state,latitude,longitude,cafe_culture_score,cafe_count_proxy,label_show,label_dx,label_dy,notes,analysis_area_km2,cafes_per_100km2,dot_count,density_band,density_note
Geelong,VIC,-38.147,144.36,52,480,False,0,0,Fastest-growing regional café count in Victoria 2017–2024,120,400.0,6,High,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Ballarat,VIC,-37.562,143.849,44,220,False,0,0,Strong heritage café strip on Sturt St,90,244.4,3,Medium,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Bendigo,VIC,-36.758,144.282,41,180,False,0,0,Growing regional scene supported by arts tourism,110,163.6,2,Medium,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Newcastle,NSW,-32.927,151.777,54,540,False,0,0,Hunter Valley gateway; strong café corridor on Hunter St,100,540.0,8,High,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Byron Bay,NSW,-28.643,153.614,78,120,False,0,0,Lifestyle destination; very high specialty and cold brew penetration,50,240.0,3,Medium,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Orange,NSW,-33.283,149.1,55,110,False,0,0,NSW's most cited regional café destination; food & wine region,70,157.1,2,Medium,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Wollongong,NSW,-34.424,150.894,46,320,False,0,0,Coastal city with growing café strip culture,90,355.6,5,High,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Glenelg & Norwood,SA,-34.921,138.537,58,220,False,0,0,Adelaide's most active café corridors outside CBD,30,733.3,10,Very high,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Launceston,TAS,-41.438,147.135,48,160,False,0,0,Growing specialty scene; Harvest Market anchor for café culture,80,200.0,3,Medium,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
Alice Springs,NT,-23.698,133.88,29,60,False,0,0,Small but growing café offering for a remote centre,90,66.7,1,Low,"cafes_per_100km2 = cafe_count_proxy / analysis_area_km2 * 100; area is an analysis catchment proxy, not official boundary area."
